diff_first_serve_pct,diff_first_serve_won_pct,diff_second_serve_won_pct,diff_serve_pts_won_pct,diff_ace_pct,diff_double_fault_pct,diff_bp_saved_pct,diff_return_pts_won_pct,diff_second_serve_return_won_pct,diff_bp_won_pct,diff_tiebreak_won_pct,diff_points_dominance,diff_point_time,diff_grass_elo,diff_pre_wimbledon_form,won
4.819999999999993,-1.1500000000000057,11.54,4.810000000000002,-2.369999999999999,-1.75,8.810000000000002,7.080000000000005,5.210000000000001,15.89,-30.0,0.45899999999999985,-0.0799999999999983,345,2,1
-4.819999999999993,1.1500000000000057,-11.54,-4.810000000000002,2.369999999999999,1.75,-8.810000000000002,-7.080000000000005,-5.210000000000001,-15.89,30.0,-0.45899999999999985,0.0799999999999983,-345,-2,0
-8.519999999999996,1.1400000000000006,3.230000000000004,0.7099999999999937,-1.9700000000000002,2.16,-17.419999999999995,4.239999999999995,9.11,9.75,,0.15100000000000002,1.3800000000000026,293,-1,1
8.519999999999996,-1.1400000000000006,-3.230000000000004,-0.7099999999999937,1.9700000000000002,-2.16,17.419999999999995,-4.239999999999995,-9.11,-9.75,,-0.15100000000000002,-1.3800000000000026,-293,1,0
3.0600000000000023,-11.89,-12.090000000000003,-11.260000000000005,-17.43,-2.4,-5.140000000000001,-3.219999999999999,4.82,-3.009999999999998,20.0,-0.6290000000000001,1.6500000000000057,-155,-1,1
-3.0600000000000023,11.89,12.090000000000003,11.260000000000005,17.43,2.4,5.140000000000001,3.219999999999999,-4.82,3.009999999999998,-20.0,0.6290000000000001,-1.6500000000000057,155,1,0
3.9099999999999966,5.920000000000002,0.45000000000000284,4.740000000000009,1.7999999999999998,-0.5300000000000002,-0.8499999999999943,3.8100000000000023,0.9299999999999997,8.380000000000003,25.0,0.28200000000000003,1.9599999999999937,611,0,1
-3.9099999999999966,-5.920000000000002,-0.45000000000000284,-4.740000000000009,-1.7999999999999998,0.5300000000000002,0.8499999999999943,-3.8100000000000023,-0.9299999999999997,-8.380000000000003,-25.0,-0.28200000000000003,-1.9599999999999937,-611,0,0
-1.980000000000004,9.719999999999999,-3.789999999999999,4.159999999999997,11.62,1.85,21.459999999999994,-3.289999999999999,-8.449999999999996,-8.719999999999999,21.430000000000007,0.04400000000000004,-3.990000000000002,160,0,1
1.980000000000004,-9.719999999999999,3.789999999999999,-4.159999999999997,-11.62,-1.85,-21.459999999999994,3.289999999999999,8.449999999999996,8.719999999999999,-21.430000000000007,-0.04400000000000004,3.990000000000002,-160,0,0
