player,first_serve_pct,first_serve_won_pct,second_serve_won_pct,serve_pts_won_pct,ace_pct,double_fault_pct,bp_saved_pct,return_pts_won_pct,second_serve_return_won_pct,bp_won_pct,tiebreak_won_pct,points_dominance,point_time,round_reached,year,grass_elo,pre_wimbledon_form,round_score,reached_qf
Brandon Nakashima,63.57,80.78,59.63,73.08,6.33,2.26,61.54,34.59,47.16,37.21,33.33,1.285,39.71,R16,2022,1894,0,1,0
Novak Djokovic,63.02,82.39,56.8,72.93,9.62,3.55,64.71,41.54,57.24,40.0,,1.534,44.84,W,2022,2367,0,5,1
Christian Garin,61.55,72.62,50.25,64.02,3.79,4.36,52.78,42.51,51.72,39.68,66.67,1.181,43.23,QF,2022,1930,0,2,1
David Goffin,60.82,73.68,52.92,65.55,7.01,4.27,63.27,40.68,52.17,44.12,100.0,1.181,40.0,QF,2022,1938,1,2,1
Botic Van De Zandschulp,59.02,80.79,51.57,68.81,12.89,6.7,56.52,38.48,51.27,43.24,50.0,1.234,40.33,QF,2022,1949,3,2,1
Jannik Sinner,57.91,75.87,59.6,69.02,4.55,3.87,66.67,37.74,50.0,35.59,50.0,1.218,45.17,R16,2022,2117,0,1,0
Frances Tiafoe,56.29,81.32,54.72,69.69,9.07,2.89,65.52,37.52,56.31,39.53,75.0,1.238,38.36,R16,2022,1933,1,1,0
Alex De Minaur,54.94,73.03,56.16,65.43,8.02,3.7,70.0,42.63,53.01,52.08,33.33,1.233,43.3,R16,2022,1993,1,1,0
Christopher Eubanks,70.34,78.37,51.83,70.5,15.84,4.04,51.85,29.89,42.99,37.84,83.33,1.013,40.43,QF,2023,1863,1,2,1
Hubert Hurkacz,69.19,81.98,57.14,74.33,20.05,2.2,94.74,32.79,46.4,34.62,50.0,1.277,38.4,R16,2023,2018,1,1,0
Stefanos Tsitsipas,67.62,80.79,60.99,74.38,8.36,1.6,60.0,29.32,39.55,32.35,62.5,1.144,43.28,R16,2023,2138,1,1,0
Daniil Medvedev,67.32,78.1,46.74,67.85,11.01,4.09,61.11,39.21,52.42,41.07,100.0,1.22,42.02,SF,2023,2237,2,3,1
Jiri Lehecka,67.25,75.66,59.23,70.28,8.56,2.27,82.61,36.0,49.22,46.67,33.33,1.211,39.15,R16,2023,1927,1,1,0
Matteo Berrettini,66.3,80.4,54.25,71.59,11.89,1.98,81.82,28.29,42.64,31.82,75.0,0.996,46.11,R16,2023,2071,0,1,0
Novak Djokovic,64.61,77.58,60.85,71.66,8.56,1.39,78.95,35.49,51.17,33.33,85.71,1.252,45.94,F,2023,2410,0,4,1
Roman Safiullin,64.59,73.28,57.79,67.79,8.36,4.98,55.56,38.24,52.5,44.0,75.0,1.187,41.32,QF,2023,1817,1,2,1
Alexander Bublik,64.33,87.02,50.0,73.81,18.96,8.58,72.22,35.06,48.31,38.24,80.0,1.339,36.95,R16,2023,1934,5,1,0
Daniel Elahi Galan Riveros,63.89,72.05,47.25,63.1,8.73,1.98,73.08,37.47,50.58,55.56,50.0,1.015,43.32,R16,2023,1701,0,1,0
Carlos Alcaraz Garfia,63.42,76.35,57.19,69.34,6.32,3.95,72.5,40.69,51.93,32.98,75.0,1.327,45.7,W,2023,2290,5,5,1
Andrey Rublev,62.79,77.5,54.43,68.92,9.26,1.41,65.71,34.55,47.66,42.55,20.0,1.112,38.42,QF,2023,2130,4,2,1
Holger Vitus Nodskov Rune,62.1,77.66,53.57,68.53,7.95,5.08,71.05,33.83,44.64,31.11,83.33,1.075,43.56,QF,2023,2133,3,2,1
Denis Shapovalov,61.26,77.94,47.67,66.22,11.94,7.88,61.76,38.5,47.85,46.15,,1.139,39.24,R16,2023,1948,1,1,0
Grigor Dimitrov,58.22,83.33,54.19,71.16,12.4,5.39,78.95,40.59,51.57,59.38,0.0,1.407,42.23,R16,2023,2148,2,1,0
Jannik Sinner,56.44,82.81,62.73,74.06,12.87,2.97,73.33,40.51,52.24,36.11,50.0,1.562,43.2,SF,2023,2126,2,3,1
Alexander Zverev,73.88,85.0,57.58,77.84,16.89,2.37,77.78,33.95,44.0,43.75,66.67,1.532,42.05,R16,2024,2211,3,1,0
Roberto Bautista Agut,71.1,67.36,56.2,64.14,3.38,2.11,68.29,37.32,58.33,39.47,66.67,1.04,41.89,R16,2024,1883,1,1,0
Ben Shelton,69.33,77.24,54.34,70.21,9.75,3.37,74.19,30.43,43.14,28.57,40.0,1.021,40.07,R16,2024,1950,1,1,0
Giovanni Mpetshi Perricard,68.75,81.21,54.67,72.92,23.96,5.63,79.31,29.41,38.89,43.48,60.0,1.086,33.67,R16,2024,1785,2,1,0
Lorenzo Musetti,68.74,71.68,59.32,67.81,5.43,1.19,66.0,38.85,51.77,36.71,50.0,1.207,42.33,SF,2024,1946,4,3,1
Novak Djokovic,67.47,78.72,55.85,71.28,10.73,3.11,64.29,38.46,53.33,35.0,66.67,1.339,45.48,F,2024,2347,0,4,1
Daniil Medvedev,67.47,74.22,55.35,68.08,10.44,4.84,62.16,36.21,51.98,47.73,66.67,1.134,41.15,SF,2024,2209,1,3,1
Taylor Harry Fritz,63.75,81.05,65.13,75.28,14.5,1.12,61.9,34.85,53.59,37.21,50.0,1.41,39.48,QF,2024,2089,2,2,1
Jannik Sinner,63.68,80.44,56.04,71.58,10.7,1.93,64.29,36.95,56.84,52.94,83.33,1.3,43.72,QF,2024,2350,5,2,1
Carlos Alcaraz Garfia,63.32,73.55,56.4,67.26,7.99,3.43,56.52,40.69,50.87,44.09,80.0,1.243,44.02,W,2024,2304,2,5,1
Tommy Paul,62.85,75.0,56.72,68.21,7.58,1.66,70.21,39.3,46.97,50.0,,1.236,40.61,QF,2024,2069,5,2,1
Ugo Humbert,62.71,77.03,59.09,70.34,11.86,1.27,56.52,38.09,50.24,36.0,66.67,1.284,42.63,R16,2024,1990,1,1,0
Arthur Fils,62.48,72.56,48.22,63.43,7.05,4.95,64.71,34.77,44.44,34.04,,0.951,42.02,R16,2024,1860,2,1,0
Holger Vitus Nodskov Rune,61.28,79.08,59.6,71.54,13.08,3.85,74.07,34.04,46.63,32.43,50.0,1.196,38.82,R16,2024,2031,1,1,0
Grigor Dimitrov,58.97,88.59,57.81,75.96,13.46,3.85,58.33,37.57,52.48,50.0,,1.563,40.21,R16,2024,2148,1,1,0
Alex De Minaur,53.0,75.0,51.68,64.04,8.2,3.47,59.26,47.53,58.38,38.46,100.0,1.322,41.28,QF,2024,2151,1,2,1
